index,lam1,lam1_tilt,mu1,mu1_tilt,lam2,lam2_tilt,mu2,mu2_tilt,lam3,lam3_tilt,mu3,mu3_tilt,lam4,lam4_tilt,mu4,mu4_tilt,lam5,lam5_tilt,mu5,mu5_tilt,lam6,lam6_tilt,mu6,mu6_tilt,lam7,lam7_tilt,mu7,mu7_tilt,lam8,lam8_tilt,mu8,mu8_tilt,test_cycles,time,n_packets,gamma,num_mean,num_CI,num_halfCI,num_RE,time,prob_mean,prob_CI,prob_halfCI,prob_RE
0,0.1,0.204491063,1,0.311605218,0.1,0.119566677,1,0.651702831,0.1,0.123912947,1,0.660330704,0.1,0.12160267,1,0.622656028,0.1,0.100361156,1,0.644483054,0.1,0.124954709,1,0.566005171,0.1,0.119763096,1,0.452310253,0.1,0.112139535,1,0.362320983,100000,178.7208092,8063440,9.528393745,0.000735168,"[0.0005743,0.000896]",0.000160827,0.111613289,387.5524549,0.001191791,"[0.0009311,0.001453]",0.00026072,0.111613862
1,0.1,0.166956329,1,0.485055268,0.1,0.120743862,1,0.673119596,0.1,0.111731512,1,0.732784892,0.1,0.110210187,1,0.772732961,0.1,0.098113643,1,0.733724757,0.1,0.132878111,1,0.855250272,0.1,0.118646765,1,0.599917157,0.1,0.110454623,1,0.414288688,100000,470.5115616,12484470,9.528393745,0.000626607,"[0.0005526,0.0007006]",7.40E-05,0.06023116,858.2645957,0.001015801,"[0.0008959,0.001136]",0.000119919,0.060231489
2,0.1,0.166602503,1,0.42105985,0.1,0.124863895,1,0.676108503,0.1,0.124393165,1,0.709592171,0.1,0.117126704,1,0.690815874,0.1,0.113900389,1,0.62993524,0.1,0.111432041,1,0.768952658,0.1,0.121797732,1,0.69175086,0.1,0.110580004,1,0.438529417,100000,329.8595233,10910466,9.528393745,0.000594185,"[0.0005618,0.0006266]",3.24E-05,0.027816123,1188.319047,0.000963242,"[0.0009107,0.001016]",5.25E-05,0.027816322
3,0.1,0.189079454,1,0.386285287,0.1,0.120217989,1,0.631158359,0.1,0.114393258,1,0.678783438,0.1,0.119101369,1,0.697306412,0.1,0.118844197,1,0.661432867,0.1,0.113759837,1,0.617184905,0.1,0.117518951,1,0.600884489,0.1,0.118546521,1,0.489756655,100000,254.5613611,9585043,9.528393745,0.000578195,"[0.0005359,0.0006205]",4.23E-05,0.037339653,1443.077518,0.000937319,"[0.0008687,0.001006]",6.86E-05,0.037339884
4,0.1,0.190381405,1,0.374116389,0.1,0.123633726,1,0.667854848,0.1,0.115117795,1,0.684844343,0.1,0.11240781,1,0.656988369,0.1,0.116760605,1,0.680463935,0.1,0.113275694,1,0.559516526,0.1,0.112978295,1,0.599425599,0.1,0.117080667,1,0.45354193,100000,224.7860177,8989053,9.528393745,0.000627256,"[0.0005718,0.0006827]",5.54E-05,0.045096921,1668.05718,0.001016853,"[0.000927,0.001107]",8.99E-05,0.045097183
5,0.1,0.199115971,1,0.39116701,0.1,0.113248567,1,0.626374603,0.1,0.10647651,1,0.640281625,0.1,0.112732404,1,0.640287802,0.1,0.113477545,1,0.617376864,0.1,0.121322193,1,0.621132905,0.1,0.116550971,1,0.662193097,0.1,0.1183066,1,0.535742411,100000,230.7088563,9055760,9.528393745,0.00062171,"[0.0005747,0.0006687]",4.70E-05,0.038556218,1898.969396,0.001007862,"[0.0009317,0.001084]",7.62E-05,0.038556454
6,0.1,0.185323032,1,0.373445381,0.1,0.113583658,1,0.683199669,0.1,0.117412495,1,0.658598367,0.1,0.111576073,1,0.651907702,0.1,0.110531487,1,0.641967483,0.1,0.117714741,1,0.644400539,0.1,0.11641185,1,0.566865088,0.1,0.117625544,1,0.486606725,100000,223.1433814,8825963,9.528393745,0.000578484,"[0.000546,0.000611]",3.25E-05,0.028656258,2122.307918,0.000937787,"[0.0008851,0.0009905]",5.27E-05,0.028656459
7,0.1,0.194010189,1,0.36424984,0.1,0.115837006,1,0.651935521,0.1,0.116693337,1,0.682057726,0.1,0.112574773,1,0.675803072,0.1,0.111626857,1,0.65909373,0.1,0.118185548,1,0.664283805,0.1,0.118035678,1,0.573230086,0.1,0.114510103,1,0.436580256,100000,211.5283506,8621857,9.528393745,0.000664821,"[0.0005759,0.0007538]",8.89E-05,0.068247624,2334.045777,0.00107775,"[0.0009336,0.001222]",0.000144166,0.06824799
8,0.1,0.181945441,1,0.425617695,0.1,0.111304785,1,0.641744586,0.1,0.119200524,1,0.660569638,0.1,0.119479597,1,0.655693831,0.1,0.125279846,1,0.711865575,0.1,0.11510157,1,0.708633804,0.1,0.115281671,1,0.686594304,0.1,0.110683216,1,0.557845346,100000,306.5247905,10314893,9.528393745,0.00061604,"[0.0005715,0.0006606]",4.45E-05,0.036871045,2640.768621,0.000998671,"[0.0009265,0.001071]",7.22E-05,0.036871275
9,0.1,0.187672683,1,0.382750646,0.1,0.113445137,1,0.727794158,0.1,0.122243221,1,0.702689466,0.1,0.117279493,1,0.663083949,0.1,0.120858329,1,0.668755089,0.1,0.114953613,1,0.664257374,0.1,0.118291547,1,0.55147253,0.1,0.117080261,1,0.573161426,100000,234.2859461,9060313,9.528393745,0.000582646,"[0.0005502,0.0006151]",3.25E-05,0.028447329,2875.251898,0.000944535,"[0.0008919,0.0009972]",5.27E-05,0.02844753
10,0.1,0.191067558,1,0.359262412,0.1,0.117471264,1,0.685860872,0.1,0.116926605,1,0.685043415,0.1,0.114540495,1,0.650705207,0.1,0.11616287,1,0.632765093,0.1,0.110461889,1,0.603745161,0.1,0.122028894,1,0.56041847,0.1,0.113711294,1,0.460210488,100000,206.9505584,8621478,9.528393745,0.000569092,"[0.00054,0.0005982]",2.91E-05,0.026083975,3082.397057,0.000922563,"[0.0008754,0.0009697]",4.72E-05,0.026084169
