,lam1,lam2,mu1,mu2,gamma,prob,RE,time
0,0.1,0.2,0.5,0.5,4.9204997709376945,0.25984356356887184,0.04570124372880006,4.178250074386597
1,0.20682731207142624,0.22927517432778693,0.24188386094287095,0.22166154377123848,15.098973719865278,0.006243002585718539,0.08250162780357796,4.5101869106292725
2,0.20246264368535763,0.28470383054770665,0.16771293203686588,0.18484977938864372,19.774,0.0010961593399764589,0.0753617227888527,5.273522853851318
3,0.21733643980160394,0.2645310266247715,0.17681968664633146,0.21560773221853982,19.774,0.0010224718514023877,0.04797909931330503,5.161593675613403
4,0.2177470579541524,0.26437444950240097,0.17656896020250842,0.21644523940277163,19.774,0.0010463430651815788,0.07071269077183373,5.248289108276367
5,0.21979608523764282,0.26367085577834437,0.17569625082477658,0.2152574450381681,19.774,0.0010224732942165405,0.06089540421969622,5.126575946807861
6,0.2203854044141964,0.26469150080416104,0.17633241304892425,0.215001613692111,19.774,0.0009337373520275729,0.039168370691129106,5.154134035110474
7,0.21914316906642722,0.2634378411106974,0.17548708699140572,0.21796825695531286,19.774,0.0010235266729017956,0.055794081970988334,5.472768068313599
8,0.21917151143979854,0.2632377412530914,0.1761505370368603,0.21808518397809587,19.774,0.000995931572200649,0.040579494094467046,5.147568941116333
9,0.21883118905741752,0.26393638161035243,0.17541203652835266,0.21950250505949528,19.774,0.000982673303468877,0.040515703100318955,5.157793045043945
10,0.21904695982294747,0.2641275736610482,0.17565636480613173,0.22166853684334967,19.774,0.001005160312594155,0.05229422383962311,5.260329008102417
11,0.2189166208959089,0.2653144554293364,0.1751509728085396,0.2225618988058841,19.774,0.0009468423393498539,0.03914393467943253,5.489019870758057
12,0.21987296652509292,0.2647137307997119,0.17737727984720725,0.22340865283009786,19.774,0.0009999813216872684,0.043129733606995894,5.079417943954468
13,0.21879065419690968,0.264290968829863,0.17679982740435093,0.22113596432830296,19.774,0.0009949455461308893,0.05283867512636378,5.38429594039917
14,0.2200341364542458,0.26486879319138523,0.17708685427730642,0.21969481485147882,19.774,0.0010189340429362932,0.04554704226127646,5.364044904708862
15,0.22031561803931213,0.2635686793844272,0.17599947588382167,0.22359639559234906,19.774,0.0010465031494412834,0.06670849201601395,5.154621839523315
16,0.22094441016709246,0.2635430684173232,0.1772467048258005,0.2223280280337391,19.774,0.0010407375018941512,0.05215824250198694,5.471898078918457
17,0.21982029503477984,0.2644907462498719,0.17685823184804803,0.22295832621284825,19.774,0.000968155206451087,0.04446608379263213,5.266136169433594
18,0.22071042957874687,0.2647755228709842,0.17690996081359844,0.2222298160968496,19.774,0.0009274771657335466,0.040844189426278564,5.344156742095947
19,0.22068559930447773,0.26436779412200906,0.17913662297204908,0.22344657303225568,19.774,0.00101095742806829,0.05856211315883458,5.469966888427734
20,0.22005099631200442,0.26383735773241024,0.17915844319377383,0.22316642577634024,19.774,0.0009774479746893962,0.051348632834312555,5.229461193084717
21,0.21913259899747395,0.2618289220113084,0.17875482443611745,0.22431303069255173,19.774,0.0009549839689387935,0.040338570803647694,5.366130828857422
22,0.2186800957873357,0.26091290456305943,0.17906791939998665,0.2234476551238738,19.774,0.0009418142767885221,0.038866808195949176,5.350715160369873
