,lam1,lam2,lam3,lam4,mu1,mu2,mu3,mu4,gamma,prob,RE,time
0,0.15,0.15,0.15,0.15,1.0,1.0,1.0,1.0,2.198691817568063,0.2738497509728873,0.04263947876682512,4.2694220542907715
1,0.3528658656067309,0.1896396084751963,0.17932189310657842,0.1745757440370142,0.47527754854782356,0.4837254327460071,0.5172280591036441,0.428056550415418,7.164483142378785,0.006394949415158684,0.09163467768910985,4.489363193511963
2,0.34848952251165205,0.1613556771276364,0.1924947934228836,0.16916183991207664,0.29129473135256856,0.3509287271097126,0.3645201316328584,0.292140224634006,9.5247,0.0016982117097526308,0.3652357583630583,5.3385090827941895
3,0.35618487327095594,0.2190602486237003,0.2641390102847816,0.148704098750813,0.43106653654430493,0.870119469962787,0.6974656658139406,0.5632049833172748,9.5247,0.000918584784947404,0.07486560250147083,5.662045001983643
4,0.35802448569530704,0.21926368584607403,0.2656509322329055,0.15044531692027932,0.43315781652709656,0.8668866203518463,0.7022945861020393,0.5746064356036794,9.5247,0.001003083892660901,0.06121079384161374,5.553006887435913
5,0.3589627746403872,0.2197421995054439,0.264578267995668,0.14934531424516131,0.42987522402212214,0.8617407606398436,0.7067323973282446,0.5651455925244305,9.5247,0.0008636826247218667,0.06906559970106799,5.7761969566345215
6,0.3583901273672657,0.21987312386671248,0.2651844698284927,0.1501111627168606,0.433387426827589,0.8587970325795936,0.7089781905464372,0.5727405739556093,9.5247,0.0010262768115446071,0.08572515131899983,5.442375898361206
7,0.359667143344257,0.2207391041747094,0.26542801093734647,0.14945385135674288,0.43455907699845575,0.8536957066929518,0.7082652522157155,0.5775902856862501,9.5247,0.0010534430724362036,0.07719886077966907,5.548938035964966
8,0.3609246479673148,0.2188005041469509,0.26553161800888025,0.14917762799833464,0.43742931934326396,0.8407382457024625,0.7052666673689753,0.5869104480515486,9.5247,0.0010262648988127463,0.06928893763072505,5.536971092224121
9,0.35871446901176307,0.21918845052436856,0.2654060634012875,0.14935436850164266,0.4374890004869381,0.8400243884481653,0.7026523514750584,0.5866808326325064,9.5247,0.0009118555514177602,0.07065198306771076,5.665943145751953
10,0.3588160433608557,0.2198949977595856,0.263432004322537,0.14976869687620245,0.43373005372946893,0.8354980516599742,0.7024415156366165,0.5957401082897836,9.5247,0.0009826219126633131,0.06571149886248093,5.617254257202148
11,0.3589080563902896,0.21980792453480646,0.2629459460975166,0.15145358201925088,0.43378602887332846,0.8364603539330738,0.7134999650563839,0.5888903240666319,9.5247,0.0009210225492940436,0.06585968044115917,5.543837070465088
12,0.3598348125544083,0.2188831511663945,0.26433031960871656,0.1519145683848593,0.43140765207331333,0.8449240622605183,0.7138678413875744,0.6069106639267343,9.5247,0.0008863031948854302,0.06012212273351104,5.381954908370972
13,0.3608932729819397,0.21924739513636315,0.2645552955700839,0.1495322109035833,0.4298440852367969,0.8404226316464817,0.7088625925948462,0.6014757196059898,9.5247,0.0009325069181245477,0.07311664702830947,5.350574016571045
14,0.3636352489596752,0.21991256810866597,0.26361596508984314,0.14821541394231194,0.42780606977919644,0.8276567501129798,0.6995643550157413,0.5972189808863628,9.5247,0.000964564556721403,0.07247543149406854,5.4691760540008545
15,0.36488121800375645,0.2203235276921498,0.26598144695939663,0.1493564383047681,0.4269482892522442,0.829319084594227,0.702796620776152,0.5767446270724591,9.5247,0.0010218734131257877,0.07316419218853837,5.4900901317596436
16,0.36773662066427315,0.21903344205799277,0.2640334598494579,0.14869571096310225,0.4241869068920769,0.8210655690970211,0.7003505327769822,0.5667211509952026,9.5247,0.0009657550061354047,0.06726679197642503,5.679513931274414
17,0.3654399968499797,0.2200169974595821,0.26470356168399334,0.14831506342462566,0.42304532944557016,0.8197689726663111,0.7042499792031289,0.5699180323968148,9.5247,0.001088186853594662,0.08664737695436515,5.5929412841796875
18,0.36795149341903854,0.2185452252783704,0.26475593609022774,0.14891921817043774,0.4240237558096049,0.8271243452062044,0.7120003546053784,0.5545870605965771,9.5247,0.0010107099989244783,0.056981326953937254,5.459455966949463
19,0.36607021188641387,0.21776172102843114,0.2619200728882992,0.14787032355900323,0.42501155524924084,0.8262701022776249,0.7137374647133279,0.5396536595099678,9.5247,0.000993997042828417,0.072158240874845,5.466341257095337
20,0.3672990269538434,0.219149326961304,0.262150764925747,0.14611924061063325,0.4235920832840504,0.8148146287928149,0.719945609250429,0.533877178473758,9.5247,0.000989384026637844,0.07301089323426146,5.5500078201293945
21,0.3669469984725848,0.21862766099107642,0.2621430525465142,0.1461661358248798,0.42465411820326765,0.8116616958637617,0.7284794860339403,0.5292209072641142,9.5247,0.0009560524030625304,0.07648944019568191,5.55265998840332
22,0.3644859748594774,0.22115885144656888,0.2620417587494532,0.14551607024366092,0.42323663816276985,0.8048552047058845,0.7271417635587903,0.5241543370931027,9.5247,0.0009198982581214274,0.06095424257673411,5.370037078857422
